Company,Shortname,Link
Century Extr,CE02,https://www.moneycontrol.com/india/stockpricequote/aluminium/centuryextrusions/CE02
Wonderla,WH03,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/wonderlaholidays/WH01
Avanti Feeds,AF21,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
Apex Frozen,AFF,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/apexfrozenfoods/AFF
Waterbase,W01,https://www.moneycontrol.com/india/stockpricequote/aquaculture/waterbase/W04
Varroc Engineer,VE08,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/varrocengineering/VE08
Pricol,PIC01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/pricol/P9
Rajratan Global,RGW,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/rajratanglobalwire/RGW01
GNA Axles,A11,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gnaaxles/A03
Rane Brake,RBL01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ranebrakelinings/RBL01
PAE,PAE,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/pae/PAE05
Subros,S07,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/subros/S07
Motherson Sumi,MSS01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01
Bosch,MIC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
Sundaram-Clayto,SC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundaramclayton/SC
Mah Scooters,MS01,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01
Sandhar Technol,STL05,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sandhartechnologies/STl06
Ind Motor Parts,IMP02,https://www.moneycontrol.com/india/stockpricequote/trading/indiamotorpartsaccessories/IMP03
Automotive Axle,AA06,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
Schaeffler Ind,FPB,https://www.moneycontrol.com/india/stockpricequote/bearings/schaefflerindia/FAG
SKF India,SKF,https://www.moneycontrol.com/india/stockpricequote/bearings/skfindia/SKF01
Timken,TT04,https://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23
NRB Bearings,NRB,https://www.moneycontrol.com/india/stockpricequote/bearings/nrbbearings/NRB
Menon Bearings,MB01,https://www.moneycontrol.com/india/stockpricequote/bearings/menonbearings/MB01
NRB Industrial,NRB01,https://www.moneycontrol.com/india/stockpricequote/bearings/nrbindustrialbearings/NRB01
Hind Composites,HC06,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/hindustancomposites/HC06
Sundaram Brake,SBL,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundarambrakelinings/SBL
Mahindra CIE,MAS,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19
RamkrishnaForge,RF16,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/ramkrishnaforgings/RF17
MM Forgings,MMF,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/mmforgings/MMF
LGB Forge,LGB01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/lgbforge/LGB01
